id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,target
918,5.23,-1.41,3.96,11.57,-2.4,5.23,-12.54,-0.73,0.55,-0.47,-0.97,1.86,-0.2,-1.89,3.68,0.03,-1.41,-12.54,-1.56,-1.41,-4.65,-2.02,1.86,-0.84,-2.43,-2.6,3.68,-2.43,11.57,0.25,-4.29,-4.29,-1.41,0.57,-0.77,-3.15,1.86,6.84,3.68,0.66,-0.36,1.96,0.25,-0.4,-5.44,-2.6,-0.36,-0.36,4.87,-0.31,-0.97,-2.6,-12.54,6.88,-1.07,1.86,1.38,-0.97,-1.89,-0.44,-5.44,1.63,0.03,-3.52,-6.03,1.44,-0.47,-5.44,6.84,-6.03,-2.6,-1.89,-1.56,-6.03,-1.41,-3.83,-3.52,0.64,0.25,-1.54,-2.4,5.23,-3.15,6.84,-1.89,6.84,-6.03,-0.97,1.13,-5.44,-1.5,0.03,-3.83,0.25,0.65,6.88,-0.47,-0.47,-1.41,11.57,10
919,-5.31,-1.85,-0.22,-0.59,-0.87,-5.31,-3.73,2.04,0.27,4.87,-1.89,-2,-0.91,17.56,4.15,-1.67,2.5,-3.73,3.9,2.5,-5.49,-1.49,-2,-0.04,-2.01,-1.97,4.15,-2.01,-0.59,-2.28,-12.2,-12.2,-1.85,1.88,0.67,8.24,-2,-0.25,4.15,0.55,2.06,2,-2.28,0.86,3.47,-1.97,2.06,2.06,0.38,0.73,-1.89,-1.97,-3.73,-1.83,0.9,-2,0.54,-1.89,17.56,-0.74,3.47,1.43,-1.67,-1.57,5.89,-6.25,4.87,3.47,-0.25,5.89,-1.97,17.56,3.9,5.89,-1.85,3.15,-1.57,0.95,-2.28,1.68,-0.87,-5.31,8.24,-0.25,17.56,-0.25,5.89,-1.72,-2.37,3.47,-0.67,-1.67,3.15,-2.28,0.38,-1.83,4.87,4.87,-1.85,-0.59,11
920,11.09,-0.3,-4.86,-3.47,-3.29,11.09,6.32,-4.12,0.29,0.09,-1.14,-1.49,0.25,5.95,-1.78,-1.51,-0.46,6.32,-0.35,-0.46,-3.41,0.33,-1.49,0.56,-2.18,-1.64,-1.78,-2.18,-3.47,-0.34,4.25,4.25,-0.3,1.26,0.25,-6.49,-1.49,-1.65,-1.78,0.29,0.09,1.37,-0.34,-0.8,-0.51,-1.64,0.09,0.09,-1.9,0.4,-1.14,-1.64,6.32,-10.69,-0.69,-1.49,-0.9,-1.14,5.95,1.85,-0.51,-0.56,-1.51,-4.9,-0.09,1.44,0.09,-0.51,-1.65,-0.09,-1.64,5.95,-0.35,-0.09,-0.3,0.53,-4.9,1.17,-0.34,-1.42,-3.29,11.09,-6.49,-1.65,5.95,-1.65,-0.09,0.27,-0.24,-0.51,-0.94,-1.51,0.53,-0.34,-1.23,-10.69,0.09,0.09,-0.3,-3.47,3
921,6.77,-4.77,0.12,-0.75,-2.01,6.77,-6.58,-0.23,-0.53,-6.33,3.57,1.01,-1.29,-2.89,-2.7,-5.05,15.55,-6.58,2.75,15.55,4.5,-0.66,1.01,-0.89,0.15,6.44,-2.7,0.15,-0.75,-4.93,-3.83,-3.83,-4.77,-0.38,-0.43,20.08,1.01,1.79,-2.7,-0.69,1.45,0.6,-4.93,0.57,2.37,6.44,1.45,1.45,-3.34,0.69,3.57,6.44,-6.58,0.63,0.96,1.01,-0.78,3.57,-2.89,0.99,2.37,-1.65,-5.05,1.43,6.25,-2.62,-6.33,2.37,1.79,6.25,6.44,-2.89,2.75,6.25,-4.77,0.34,1.43,0.26,-4.93,0.61,-2.01,6.77,20.08,1.79,-2.89,1.79,6.25,0.93,-0.31,2.37,0.32,-5.05,0.34,-4.93,-0.97,0.63,-6.33,-6.33,-4.77,-0.75,8
922,-8.28,-0.01,-3.7,-2.97,3.67,-8.28,-5.8,-0.26,0.03,-4.35,-0.68,0.97,0.92,12.45,10.17,0.32,-8.38,-5.8,-0.15,-8.38,0.81,-1.31,0.97,1.63,-0.12,-6.05,10.17,-0.12,-2.97,4.36,2.95,2.95,-0.01,0.13,1.49,-10.45,0.97,-2.39,10.17,-0.16,1,-1.06,4.36,-0.71,-4.73,-6.05,1,1,4.72,0.2,-0.68,-6.05,-5.8,-11.96,-0.1,0.97,-0.75,-0.68,12.45,-0.66,-4.73,0.82,0.32,2.07,9.84,3.39,-4.35,-4.73,-2.39,9.84,-6.05,12.45,-0.15,9.84,-0.01,0.5,2.07,-0.49,4.36,-1.59,3.67,-8.28,-10.45,-2.39,12.45,-2.39,9.84,0.22,1.55,-4.73,-1.4,0.32,0.5,4.36,0.69,-11.96,-4.35,-4.35,-0.01,-2.97,0
923,-8.13,-5.29,0.13,-3.28,2.34,-8.13,-1.41,0.81,-1.1,-2.23,0.16,5.51,0.47,-5.38,-2.36,-1.55,5.12,-1.41,1.97,5.12,-0.87,-1.3,5.51,0.18,-4.59,1.39,-2.36,-4.59,-3.28,4.64,4.53,4.53,-5.29,-0.42,-0.39,10.84,5.51,-2.89,-2.36,-0.49,-2.05,1.3,4.64,-0.02,0.6,1.39,-2.05,-2.05,-1.68,-2.11,0.16,1.39,-1.41,-8.17,0.73,5.51,1.28,0.16,-5.38,0.79,0.6,1.82,-1.55,5.88,0.69,-6.15,-2.23,0.6,-2.89,0.69,1.39,-5.38,1.97,0.69,-5.29,5.03,5.88,-0.98,4.64,-0.13,2.34,-8.13,10.84,-2.89,-5.38,-2.89,0.69,0.93,1.33,0.6,-1.4,-1.55,5.03,4.64,0.29,-8.17,-2.23,-2.23,-5.29,-3.28,8
924,-2.34,0.16,3.72,1.47,0.62,-2.34,-7.64,4.62,0.79,2.49,-4.63,3.21,-0.36,-3.23,1.09,-3.68,5.02,-7.64,1.43,5.02,-4.85,0.62,3.21,0.61,-0.41,1.02,1.09,-0.41,1.47,1.89,5.95,5.95,0.16,-0.43,1.4,-7.66,3.21,1.23,1.09,0.15,1.09,0.53,1.89,0.93,0.64,1.02,1.09,1.09,-1.47,0.88,-4.63,1.02,-7.64,-1.17,-0.07,3.21,-0.72,-4.63,-3.23,-0.22,0.64,0.75,-3.68,-3.38,-0.85,0.32,2.49,0.64,1.23,-0.85,1.02,-3.23,1.43,-0.85,0.16,-0.79,-3.38,-0.52,1.89,0,0.62,-2.34,-7.66,1.23,-3.23,1.23,-0.85,0.89,1.67,0.64,-0.8,-3.68,-0.79,1.89,1.52,-1.17,2.49,2.49,0.16,1.47,12
925,-7.93,1.18,-5.49,2.12,2.96,-7.93,14.35,-1.98,0.84,-2.79,0.79,5.07,-0.14,1.58,-1.25,-2.68,1.92,14.35,2.74,1.92,5.34,-0.23,5.07,-0.28,-5.13,3.03,-1.25,-5.13,2.12,-3.85,-4.22,-4.22,1.18,-1.29,0.1,3.58,5.07,-6.9,-1.25,-1.01,2.5,-0.93,-3.85,0.24,-0.4,3.03,2.5,2.5,-0.67,-1.97,0.79,3.03,14.35,-20.02,0.39,5.07,-0.39,0.79,1.58,-0.8,-0.4,-1.8,-2.68,3.97,14.25,-1.88,-2.79,-0.4,-6.9,14.25,3.03,1.58,2.74,14.25,1.18,-5.73,3.97,0.28,-3.85,-1.14,2.96,-7.93,3.58,-6.9,1.58,-6.9,14.25,-0.33,-1.24,-0.4,-0.93,-2.68,-5.73,-3.85,0.99,-20.02,-2.79,-2.79,1.18,2.12,13
926,3.55,-2.62,4.67,2.76,-3.74,3.55,-1.36,-0.58,-0.88,0.22,3.15,3.6,-2.98,-25.49,-1.47,2,0.95,-1.36,0.05,0.95,6.66,1.6,3.6,-0.61,3.66,1.67,-1.47,3.66,2.76,4.44,0.53,0.53,-2.62,-0.22,-0.82,-3.69,3.6,-0.32,-1.47,-0.58,-0.44,1.95,4.44,-0.63,-5.77,1.67,-0.44,-0.44,-0.31,1.23,3.15,1.67,-1.36,3.37,1.77,3.6,-0.32,3.15,-25.49,0.18,-5.77,-0.19,2,1.52,-4.42,-2.33,0.22,-5.77,-0.32,-4.42,1.67,-25.49,0.05,-4.42,-2.62,-6.76,1.52,2.38,4.44,-0.29,-3.74,3.55,-3.69,-0.32,-25.49,-0.32,-4.42,-1.22,-1.12,-5.77,1.78,2,-6.76,4.44,1.42,3.37,0.22,0.22,-2.62,2.76,1
927,1.17,0.54,0.29,-6.93,1.68,1.17,-1.69,-1.05,0.03,-1.92,1.05,-1.65,-0.09,7.27,-1.67,1.6,5.81,-1.69,-0.95,5.81,0.74,1.62,-1.65,0.99,0.83,1.14,-1.67,0.83,-6.93,-0.19,-6.13,-6.13,0.54,-0.69,-1.89,11.6,-1.65,-1.62,-1.67,0.88,2.07,0.7,-0.19,0.91,4.19,1.14,2.07,2.07,0.47,1.04,1.05,1.14,-1.69,-1.49,-2.32,-1.65,0.07,1.05,7.27,0.61,4.19,-0.41,1.6,-0.41,-10.71,-5.35,-1.92,4.19,-1.62,-10.71,1.14,7.27,-0.95,-10.71,0.54,3.85,-0.41,0.2,-0.19,-0.32,1.68,1.17,11.6,-1.62,7.27,-1.62,-10.71,-0.36,-0.38,4.19,-1.79,1.6,3.85,-0.19,0.27,-1.49,-1.92,-1.92,0.54,-6.93,4
928,1.26,-4.01,1.11,6.64,-3.8,1.26,-16.94,0.54,-1.16,-3.47,0.49,6.48,0.3,-7.28,1.77,1.24,-0.42,-16.94,2.08,-0.42,-1.98,0.37,6.48,1.17,-4.7,-2.62,1.77,-4.7,6.64,0.32,-0.74,-0.74,-4.01,-0.43,-0.7,7.37,6.48,4.58,1.77,-0.4,1.45,0.32,0.32,0.55,-1.81,-2.62,1.45,1.45,-1.57,-0.82,0.49,-2.62,-16.94,4.45,0.51,6.48,0.44,0.49,-7.28,0.89,-1.81,-0.32,1.24,-1.54,-6.76,0.03,-3.47,-1.81,4.58,-6.76,-2.62,-7.28,2.08,-6.76,-4.01,-1.18,-1.54,0.27,0.32,0.11,-3.8,1.26,7.37,4.58,-7.28,4.58,-6.76,-0.75,0.43,-1.81,1.9,1.24,-1.18,0.32,1.7,4.45,-3.47,-3.47,-4.01,6.64,19
929,-4.03,-0.81,-4.49,-0.69,1.49,-4.03,13.89,3.5,0.82,2.56,-2.75,-1.53,-1,-17.2,-1.12,-4.44,13.34,13.89,-0.03,13.34,-8.61,-0.05,-1.53,0.8,3.73,4.1,-1.12,3.73,-0.69,3.33,19.36,19.36,-0.81,-0.72,1.02,-5.2,-1.53,1.42,-1.12,-0.61,-3.48,0.11,3.33,-0.09,-2.58,4.1,-3.48,-3.48,-3.4,-0.8,-2.75,4.1,13.89,-4.71,-1.06,-1.53,0.52,-2.75,-17.2,3.02,-2.58,-1.66,-4.44,3.87,16.23,-3.05,2.56,-2.58,1.42,16.23,4.1,-17.2,-0.03,16.23,-0.81,2.1,3.87,1.01,3.33,0.74,1.49,-4.03,-5.2,1.42,-17.2,1.42,16.23,-0.31,0.58,-2.58,-0.21,-4.44,2.1,3.33,0.85,-4.71,2.56,2.56,-0.81,-0.69,13
930,4.14,3.05,0.77,-35.04,-0.53,4.14,6.01,-5.13,-1.36,-1.8,1.04,1.1,-0.64,-5.98,3.59,-4.4,-4.82,6.01,-4.65,-4.82,-4.89,-0.06,1.1,-0.66,-5.8,8.09,3.59,-5.8,-35.04,6.76,2.49,2.49,3.05,0.79,-0.03,1.95,1.1,-2.48,3.59,0.79,-6.48,-0.53,6.76,-0.05,1.55,8.09,-6.48,-6.48,-5.72,0.36,1.04,8.09,6.01,-10.29,-1.1,1.1,0.54,1.04,-5.98,-1.06,1.55,0.62,-4.4,-2.91,-4.13,-2.02,-1.8,1.55,-2.48,-4.13,8.09,-5.98,-4.65,-4.13,3.05,1.57,-2.91,-0.04,6.76,1.42,-0.53,4.14,1.95,-2.48,-5.98,-2.48,-4.13,0.39,-1.35,1.55,-0.55,-4.4,1.57,6.76,0.41,-10.29,-1.8,-1.8,3.05,-35.04,1
931,20.78,-7.51,8.78,7.71,-3.12,20.78,-7.74,0.44,-1.91,4.87,0.23,-0.23,1.16,-12,-7.22,-0.67,1.4,-7.74,0.26,1.4,-3.36,-0.54,-0.23,-1.47,0.88,-4.51,-7.22,0.88,7.71,5.06,-3.8,-3.8,-7.51,-0.55,-3.44,3.62,-0.23,4.02,-7.22,0.34,1.97,1.1,5.06,-0.23,1.21,-4.51,1.97,1.97,-0.92,-1.69,0.23,-4.51,-7.74,-0.53,0.5,-0.23,1.47,0.23,-12,0.37,1.21,0.37,-0.67,-6.2,-24.54,-4.22,4.87,1.21,4.02,-24.54,-4.51,-12,0.26,-24.54,-7.51,-6.85,-6.2,-0.29,5.06,-0.06,-3.12,20.78,3.62,4.02,-12,4.02,-24.54,0.67,0.38,1.21,0.09,-0.67,-6.85,5.06,0.36,-0.53,4.87,4.87,-7.51,7.71,7
932,3.81,-4.93,5.72,9.92,-1.19,3.81,-5.56,-2.33,0.88,2.15,1.9,2,0.62,4.86,-2.13,-1.87,16.13,-5.56,4.59,16.13,-4.64,0.52,2,0.49,3.13,-4.72,-2.13,3.13,9.92,-2.44,5.56,5.56,-4.93,-0.15,0.78,7,2,0.92,-2.13,0.68,4.8,0.23,-2.44,-0.73,-4.11,-4.72,4.8,4.8,-3.58,1.11,1.9,-4.72,-5.56,4.57,0.78,2,-0.26,1.9,4.86,0.37,-4.11,0.83,-1.87,-3.51,-9.27,-2.01,2.15,-4.11,0.92,-9.27,-4.72,4.86,4.59,-9.27,-4.93,2.82,-3.51,-1.56,-2.44,1.7,-1.19,3.81,7,0.92,4.86,0.92,-9.27,-0.46,1.96,-4.11,0.13,-1.87,2.82,-2.44,-0.11,4.57,2.15,2.15,-4.93,9.92,1
933,-10.2,-3.7,1.55,8.35,3.38,-10.2,-1.88,2.05,0.86,5.01,-2.41,0.87,1.18,0.32,-4.95,0.58,2.21,-1.88,3.84,2.21,-4.76,0.37,0.87,-0.35,-3.22,3.44,-4.95,-3.22,8.35,2.8,2.07,2.07,-3.7,-1.12,-1.02,4.36,0.87,-1.6,-4.95,1.99,0.07,-0.93,2.8,-2.11,0.45,3.44,0.07,0.07,1.86,0.42,-2.41,3.44,-1.88,-4.86,0.7,0.87,-1.4,-2.41,0.32,-0.03,0.45,0.01,0.58,3.98,6.3,-2.41,5.01,0.45,-1.6,6.3,3.44,0.32,3.84,6.3,-3.7,0.48,3.98,-0.22,2.8,-0.71,3.38,-10.2,4.36,-1.6,0.32,-1.6,6.3,-0.26,1.81,0.45,0.15,0.58,0.48,2.8,0.42,-4.86,5.01,5.01,-3.7,8.35,15
934,7.98,-0.66,0.89,4.31,-0.77,7.98,-2.41,-6.74,1.44,-1.35,-0.03,-4.08,-0.03,6.79,-4.64,1.32,23,-2.41,-1.3,23,1.61,0.76,-4.08,-0.89,5.14,7.09,-4.64,5.14,4.31,-3.45,-1.11,-1.11,-0.66,-0.02,-0.5,13.05,-4.08,2.47,-4.64,0.26,2.58,0.21,-3.45,0.01,-0.08,7.09,2.58,2.58,4.14,-0.2,-0.03,7.09,-2.41,3.58,-1.74,-4.08,-1.16,-0.03,6.79,1.04,-0.08,1.09,1.32,-0.39,-6.86,-4.78,-1.35,-0.08,2.47,-6.86,7.09,6.79,-1.3,-6.86,-0.66,3.19,-0.39,0.15,-3.45,0.24,-0.77,7.98,13.05,2.47,6.79,2.47,-6.86,-0.6,-0.7,-0.08,0.67,1.32,3.19,-3.45,0.56,3.58,-1.35,-1.35,-0.66,4.31,10
935,-4.59,1.69,-4.96,-3.52,-0.38,-4.59,12.11,-4.15,-0.43,1.78,-2.06,1.89,0.81,3.4,1.63,3.75,-1.81,12.11,-0.56,-1.81,-1.41,0.07,1.89,-0.72,-2.07,-3.66,1.63,-2.07,-3.52,-0.9,2.28,2.28,1.69,-0.18,1.46,2.86,1.89,-2.1,1.63,-0.05,-0.87,-0.21,-0.9,-0.8,0.34,-3.66,-0.87,-0.87,-2.68,-1.23,-2.06,-3.66,12.11,-5.62,-0.16,1.89,-2.21,-2.06,3.4,0.19,0.34,0.73,3.75,1.31,-1.14,-3.42,1.78,0.34,-2.1,-1.14,-3.66,3.4,-0.56,-1.14,1.69,2.29,1.31,0.22,-0.9,0.05,-0.38,-4.59,2.86,-2.1,3.4,-2.1,-1.14,-0.43,-1.08,0.34,0.52,3.75,2.29,-0.9,-0.81,-5.62,1.78,1.78,1.69,-3.52,3
936,-6.82,-1.25,-2.13,2.73,0.15,-6.82,-10.44,2.01,-0.29,1.47,-5.46,-1.24,0.76,5.35,5.21,1.24,6.68,-10.44,0.34,6.68,-6.67,0.99,-1.24,1.84,2.61,-0.26,5.21,2.61,2.73,3.98,7.07,7.07,-1.25,-0.16,1.07,-5.13,-1.24,1.3,5.21,-0.6,2.29,0.41,3.98,0,-1.8,-0.26,2.29,2.29,2.97,-0.29,-5.46,-0.26,-10.44,-1.58,-0.32,-1.24,-0.78,-5.46,5.35,1.13,-1.8,0.9,1.24,0.9,7.25,-1.65,1.47,-1.8,1.3,7.25,-0.26,5.35,0.34,7.25,-1.25,3.9,0.9,0.39,3.98,0.23,0.15,-6.82,-5.13,1.3,5.35,1.3,7.25,0.66,0.64,-1.8,1.36,1.24,3.9,3.98,-0.77,-1.58,1.47,1.47,-1.25,2.73,12
937,4.08,-2.85,-1.01,-0.69,-2.39,4.08,3.17,3.55,-1.52,1.15,1.75,1.29,-1.11,-8.02,0.3,1,-10.62,3.17,-2.25,-10.62,-4.13,0.51,1.29,1.92,-0.28,-2.49,0.3,-0.28,-0.69,-0.55,-3.49,-3.49,-2.85,-0.28,0.43,-1.55,1.29,1.79,0.3,-0.72,-5.16,-0.2,-0.55,0.93,0.14,-2.49,-5.16,-5.16,-1.27,-0.87,1.75,-2.49,3.17,5.64,-1.61,1.29,-0.25,1.75,-8.02,-0.62,0.14,-1.51,1,-3.12,-2.02,-2.02,1.15,0.14,1.79,-2.02,-2.49,-8.02,-2.25,-2.02,-2.85,0.59,-3.12,-1.05,-0.55,-0.31,-2.39,4.08,-1.55,1.79,-8.02,1.79,-2.02,-0.02,-1.04,0.14,-1.85,1,0.59,-0.55,0.69,5.64,1.15,1.15,-2.85,-0.69,2
938,7.74,4.58,-2.67,2.52,2.11,7.74,22.19,0.58,-0.12,0.51,1.96,-4.24,-0.21,-11.58,-5.85,-5.04,3.04,22.19,-6.81,3.04,-19.55,0.71,-4.24,-1.5,-4.11,0.03,-5.85,-4.11,2.52,2.41,1.78,1.78,4.58,-0.65,1.35,-6.91,-4.24,-3.02,-5.85,0.67,3.89,1.33,2.41,0.3,-5.47,0.03,3.89,3.89,-0.9,-0.48,1.96,0.03,22.19,-9.96,-1.88,-4.24,-0.15,1.96,-11.58,-0.18,-5.47,-1.46,-5.04,-2.33,-5.51,-3.42,0.51,-5.47,-3.02,-5.51,0.03,-11.58,-6.81,-5.51,4.58,-4.2,-2.33,-1.11,2.41,-0.32,2.11,7.74,-6.91,-3.02,-11.58,-3.02,-5.51,-0.4,-0.39,-5.47,2.54,-5.04,-4.2,2.41,-0.25,-9.96,0.51,0.51,4.58,2.52,5
939,-5.84,-1.27,-1.45,5.04,-3.17,-5.84,-0.88,-2.01,0.96,5.17,-0.01,-0.75,0.35,-3.42,0.45,2.01,-0.21,-0.88,-0.64,-0.21,-11.18,-1.56,-0.75,-0.92,-1.06,-1.78,0.45,-1.06,5.04,4.04,9.42,9.42,-1.27,1.12,-0.63,-4.17,-0.75,2.87,0.45,-0.27,-0.16,-2.04,4.04,-0.86,-3.95,-1.78,-0.16,-0.16,0.07,-0.56,-0.01,-1.78,-0.88,10.04,-0.63,-0.75,-0.47,-0.01,-3.42,-1.07,-3.95,-0.87,2.01,1.91,-1.56,0.12,5.17,-3.95,2.87,-1.56,-1.78,-3.42,-0.64,-1.56,-1.27,5.17,1.91,-0.53,4.04,0.37,-3.17,-5.84,-4.17,2.87,-3.42,2.87,-1.56,-1.15,-0.43,-3.95,-0.93,2.01,5.17,4.04,1.05,10.04,5.17,5.17,-1.27,5.04,18
940,0.1,-0.14,1.62,3.94,4.78,0.1,-0.66,-0.47,1.95,-3.98,0.62,-1.03,-0.19,4.01,-2.36,-1.64,-0.26,-0.66,1.25,-0.26,7.33,-1.2,-1.03,-0.2,-2.45,0.34,-2.36,-2.45,3.94,-1.99,-0.63,-0.63,-0.14,-0.55,-0.81,8.53,-1.03,2.63,-2.36,0.54,-2.73,1.22,-1.99,0.08,2.02,0.34,-2.73,-2.73,2.12,-1.31,0.62,0.34,-0.66,-0.92,-1.46,-1.03,1.1,0.62,4.01,-0.57,2.02,-0.18,-1.64,4.79,3.24,4.01,-3.98,2.02,2.63,3.24,0.34,4.01,1.25,3.24,-0.14,-1.18,4.79,-0.57,-1.99,1.85,4.78,0.1,8.53,2.63,4.01,2.63,3.24,-1.05,-1.43,2.02,-0.41,-1.64,-1.18,-1.99,-0.1,-0.92,-3.98,-3.98,-0.14,3.94,2
941,7.84,-0.61,3.95,-6.34,2.2,7.84,-4.96,-4.19,1.04,0.28,-2.75,-2.82,-0.4,17.02,1.28,2.1,-1.81,-4.96,3.54,-1.81,7.7,0.43,-2.82,-0.18,3.35,-3.36,1.28,3.35,-6.34,1.33,0.18,0.18,-0.61,-0.7,-1.13,-6.01,-2.82,-5.41,1.28,-0.94,1.82,-1.13,1.33,0.87,-1.73,-3.36,1.82,1.82,0.45,0.93,-2.75,-3.36,-4.96,-15.04,0.67,-2.82,0.94,-2.75,17.02,-1.85,-1.73,0.07,2.1,-4.87,-0.19,3.9,0.28,-1.73,-5.41,-0.19,-3.36,17.02,3.54,-0.19,-0.61,-2.78,-4.87,0.89,1.33,-0.62,2.2,7.84,-6.01,-5.41,17.02,-5.41,-0.19,2.19,0.84,-1.73,0.04,2.1,-2.78,1.33,-0.48,-15.04,0.28,0.28,-0.61,-6.34,4
942,21.16,-5.13,3.62,-5.27,-2.76,21.16,-1.82,1.14,-0.62,-3.73,-2.74,0.54,0.8,-5.18,-1.59,-3.08,-12.11,-1.82,-4.68,-12.11,10.87,0.35,0.54,0.32,1.15,-1.29,-1.59,1.15,-5.27,4.37,-5.57,-5.57,-5.13,-1.68,-0.1,-14.42,0.54,-5.21,-1.59,-0.73,-2.98,-1.07,4.37,-1.55,0.44,-1.29,-2.98,-2.98,1.45,0.65,-2.74,-1.29,-1.82,-13.68,0.59,0.54,-0.92,-2.74,-5.18,-2,0.44,0.42,-3.08,-3.21,-0.65,2.05,-3.73,0.44,-5.21,-0.65,-1.29,-5.18,-4.68,-0.65,-5.13,-6.7,-3.21,-1.18,4.37,-0.46,-2.76,21.16,-14.42,-5.21,-5.18,-5.21,-0.65,-0.13,2.09,0.44,1.54,-3.08,-6.7,4.37,1.17,-13.68,-3.73,-3.73,-5.13,-5.27,19
943,4.78,-2.01,2.54,-20.37,1.83,4.78,-3.28,-2.08,0.06,-0.22,1.07,-5.18,0.49,11.31,2.97,0.69,-14.28,-3.28,2.72,-14.28,7.5,-0.96,-5.18,-0.91,-3.97,1.49,2.97,-3.97,-20.37,3.8,-15.62,-15.62,-2.01,1.02,-0.02,10.21,-5.18,-2.47,2.97,0.62,-6.02,-0.02,3.8,-0.94,3.6,1.49,-6.02,-6.02,1.25,-0.28,1.07,1.49,-3.28,-13.15,2.27,-5.18,1.64,1.07,11.31,1.59,3.6,-0.91,0.69,0.1,6.45,-1.41,-0.22,3.6,-2.47,6.45,1.49,11.31,2.72,6.45,-2.01,-2.47,0.1,0.23,3.8,-0.62,1.83,4.78,10.21,-2.47,11.31,-2.47,6.45,-0.81,-0.2,3.6,-0.63,0.69,-2.47,3.8,-0.18,-13.15,-0.22,-0.22,-2.01,-20.37,12
944,-8.69,3.09,-2.58,-0.29,-1.22,-8.69,-3.82,2.36,-0.7,-0.01,-1.74,1.28,-1.73,-10.49,1,0.34,6.34,-3.82,3.19,6.34,0.66,1.91,1.28,0.85,1.22,1.53,1,1.22,-0.29,2.56,14.25,14.25,3.09,-2.37,0.54,-8.18,1.28,2.09,1,-1.35,-0.58,-0.81,2.56,-1.52,-1.37,1.53,-0.58,-0.58,-1.75,0.27,-1.74,1.53,-3.82,4.31,1.93,1.28,0.55,-1.74,-10.49,0.21,-1.37,-0.33,0.34,2.25,5.54,2.4,-0.01,-1.37,2.09,5.54,1.53,-10.49,3.19,5.54,3.09,3.28,2.25,-0.91,2.56,-1,-1.22,-8.69,-8.18,2.09,-10.49,2.09,5.54,1.33,1.11,-1.37,0.43,0.34,3.28,2.56,-1.55,4.31,-0.01,-0.01,3.09,-0.29,12
945,-2.2,2.35,2.35,-6.9,3.86,-2.2,-0.64,1.14,-0.07,-2.18,0.18,0.41,-0.75,5.34,1.65,0.7,-3.06,-0.64,3.77,-3.06,12.09,-0.58,0.41,0.39,-0.35,-1.13,1.65,-0.35,-6.9,-0.67,-8.69,-8.69,2.35,2.46,1.02,2.82,0.41,-2.04,1.65,0.73,-2.28,-0.46,-0.67,0.28,2.61,-1.13,-2.28,-2.28,1.67,0.31,0.18,-1.13,-0.64,-8.7,0.97,0.41,-0.44,0.18,5.34,-1.67,2.61,-0.23,0.7,0.01,-0.05,-1.2,-2.18,2.61,-2.04,-0.05,-1.13,5.34,3.77,-0.05,2.35,-2.55,0.01,0.05,-0.67,-1.61,3.86,-2.2,2.82,-2.04,5.34,-2.04,-0.05,-1.31,1.85,2.61,-0.67,0.7,-2.55,-0.67,-0.96,-8.7,-2.18,-2.18,2.35,-6.9,1
946,10.2,-5.37,1.3,-13.85,0.11,10.2,-10.69,0.08,1.48,-1.35,2.01,-7.08,0.34,7.99,0.96,3.48,-15.87,-10.69,-1.75,-15.87,-16.19,0.52,-7.08,0.03,-3.96,0.4,0.96,-3.96,-13.85,1.24,-3.21,-3.21,-5.37,0.29,0.95,15.24,-7.08,1.91,0.96,-1.11,-5.13,0.6,1.24,-1.84,-1.53,0.4,-5.13,-5.13,-4.53,0.59,2.01,0.4,-10.69,3.99,-0.35,-7.08,-0.48,2.01,7.99,-0.72,-1.53,1.18,3.48,-5.5,3.79,3.56,-1.35,-1.53,1.91,3.79,0.4,7.99,-1.75,3.79,-5.37,3.79,-5.5,1.07,1.24,0.11,0.11,10.2,15.24,1.91,7.99,1.91,3.79,0.78,-0.5,-1.53,-0.94,3.48,3.79,1.24,-2.71,3.99,-1.35,-1.35,-5.37,-13.85,9
947,2.04,5.62,-1.4,-1.95,-4.31,2.04,12.27,-1.54,0.6,3.99,-5.75,-1.68,-1.36,-10.01,-0.12,-6.14,10.92,12.27,-1.23,10.92,-5.33,0.51,-1.68,-0.76,-3.24,3.79,-0.12,-3.24,-1.95,1.13,9.4,9.4,5.62,-1.77,1.44,-11.82,-1.68,2.47,-0.12,-1.03,-2.87,2.1,1.13,0.64,-2.01,3.79,-2.87,-2.87,-2.34,-0.75,-5.75,3.79,12.27,-0.34,-0.92,-1.68,-0.09,-5.75,-10.01,0.67,-2.01,0.03,-6.14,0.59,7.96,-0.7,3.99,-2.01,2.47,7.96,3.79,-10.01,-1.23,7.96,5.62,0.5,0.59,1.08,1.13,-1.98,-4.31,2.04,-11.82,2.47,-10.01,2.47,7.96,1.36,0.13,-2.01,0.07,-6.14,0.5,1.13,-0.01,-0.34,3.99,3.99,5.62,-1.95,4
